"","ets_norm","ets_boot","arima_norm","arima_boot","qf","rfinter","pibf"
"Beverage carton",0.9375,0.805147058823529,0.941176470588235,0.808823529411765,0.786764705882353,0.768382352941177,0.790441176470588
"Foil",0.919117647058823,0.875,0.926470588235294,0.875,0.897058823529412,0.878676470588235,0.849264705882353
"Hollow bodies",0.882352941176471,0.790441176470588,0.867647058823529,0.794117647058823,0.908088235294118,0.797794117647059,0.764705882352941
"MP hard",0.904411764705882,0.823529411764706,0.897058823529412,0.834558823529412,0.860294117647059,0.841911764705882,0.816176470588235
"MP soft",0.933823529411765,0.900735294117647,0.933823529411765,0.904411764705882,0.915441176470588,0.911764705882353,0.856617647058823
"NF metal",0.911764705882353,0.834558823529412,0.911764705882353,0.845588235294118,0.856617647058823,0.834558823529412,0.834558823529412
"PPC",0.900735294117647,0.834558823529412,0.908088235294118,0.845588235294118,0.845588235294118,0.816176470588235,0.823529411764706
"PE",0.963235294117647,0.908088235294118,0.955882352941177,0.897058823529412,0.889705882352941,0.919117647058823,0.882352941176471
"PET bottles",0.908088235294118,0.875,0.915441176470588,0.867647058823529,0.882352941176471,0.863970588235294,0.845588235294118
"PET bowls",0.908088235294118,0.852941176470588,0.911764705882353,0.852941176470588,0.897058823529412,0.856617647058823,0.830882352941177
"PP",0.904411764705882,0.863970588235294,0.911764705882353,0.860294117647059,0.871323529411765,0.860294117647059,0.823529411764706
"PS",0.886029411764706,0.841911764705882,0.889705882352941,0.849264705882353,0.834558823529412,0.849264705882353,0.827205882352941
"Sorting residues",0.904411764705882,0.871323529411765,0.908088235294118,0.867647058823529,0.933823529411765,0.871323529411765,0.841911764705882
