"","ets_norm","ets_boot","arima_norm","arima_boot","qf","rfinter","pibf"
"Beverage carton",0.156204205606483,0.088732240791326,0.155999531411277,0.0891050741737094,0.0866698971177278,0.0853323542229019,0.0907253025711096
"Foil",0.11691180822582,0.106502601521369,0.116249566860263,0.108206156305258,0.111812395483158,0.100023985051206,0.102289113930451
"Hollow bodies",0.0240196494024791,0.0227995880329503,0.0237452494141982,0.0228289738406014,0.0207216689223896,0.0218181290014571,0.0213549099792348
"MP hard",0.0741698747468743,0.0753752927838268,0.0739694639241967,0.0734381501306608,0.0797498108250916,0.0751127514557956,0.0651323366405271
"MP soft",0.133003972703964,0.134461151634897,0.132433131556226,0.13081249756308,0.136975020658773,0.132853575360245,0.124720965815671
"NF metal",0.0621100417922991,0.0568440085104697,0.0621407710519161,0.0571994782462964,0.0576769504777531,0.0548909044187168,0.0552065058413193
"PPC",0.0917542183423393,0.0870530128002677,0.0913646240058504,0.0859257130472808,0.087944737598695,0.084035068246415,0.0844418965265663
"PE",0.0420868669735467,0.0446278779543258,0.0418759624460859,0.0438882231636288,0.0425681145210957,0.0448164642529504,0.0377483437850279
"PET bottles",0.0401435473283404,0.0388643948538529,0.040054729712767,0.0386249927349823,0.0454910035217348,0.0394158389945068,0.0364920174321146
"PET bowls",0.0448688945937481,0.0417851947356802,0.0447331834213714,0.0412879772867622,0.0447985257513152,0.0409875561076169,0.0401241637974386
"PP",0.0798388976602748,0.0791051860257005,0.0795401570873622,0.0774922302810296,0.0793122997091208,0.0772298186561915,0.0765220064026803
"PS",0.0213557129884366,0.0208287556977308,0.0213013965973793,0.0206758434283483,0.021346205548735,0.0207503863469423,0.0201024364539041
"Sorting residues",0.294776040653229,0.316714117362418,0.288273117170853,0.309503537185609,0.297621294675137,0.330185240860295,0.289357585164917
