"","date","holiday"
"215","2020-05-25","False"
"216","2020-05-26","False"
"217","2020-05-27","False"
"218","2020-05-28","False"
"219","2020-05-29","False"
"220","2020-05-30","False"
"221","2020-05-31","False"
"222","2020-06-01","False"
"223","2020-06-02","False"
"224","2020-06-03","False"
"225","2020-06-04","False"
"226","2020-06-05","False"
"227","2020-06-06","False"
"228","2020-06-07","False"
"229","2020-06-08","False"
"230","2020-06-09","False"
"231","2020-06-10","False"
"232","2020-06-11","False"
"233","2020-06-12","False"
"234","2020-06-13","False"
"235","2020-06-14","False"
"236","2020-06-15","False"
"237","2020-06-16","False"
"238","2020-06-17","False"
"239","2020-06-18","False"
"240","2020-06-19","False"
"241","2020-06-20","False"
"242","2020-06-21","False"
"243","2020-06-22","False"
"244","2020-06-23","False"
"245","2020-06-24","False"
"246","2020-06-25","False"
"247","2020-06-26","False"
"248","2020-06-27","False"
"249","2020-06-28","False"
"250","2020-06-29","True"
"251","2020-06-30","True"
"252","2020-07-01","True"
"253","2020-07-02","True"
"254","2020-07-03","True"
"255","2020-07-04","True"
"256","2020-07-05","True"
"257","2020-07-06","True"
"258","2020-07-07","True"
"259","2020-07-08","True"
"260","2020-07-09","True"
"261","2020-07-10","True"
"262","2020-07-11","True"
"263","2020-07-12","True"
"264","2020-07-13","True"
"265","2020-07-14","True"
"266","2020-07-15","True"
"267","2020-07-16","True"
"268","2020-07-17","True"
"269","2020-07-18","True"
"270","2020-07-19","True"
"271","2020-07-20","True"
"272","2020-07-21","True"
"273","2020-07-22","True"
"274","2020-07-23","True"
"275","2020-07-24","True"
"276","2020-07-25","True"
"277","2020-07-26","True"
"278","2020-07-27","True"
"279","2020-07-28","True"
"280","2020-07-29","True"
"281","2020-07-30","True"
"282","2020-07-31","True"
"283","2020-08-01","True"
"284","2020-08-02","True"
"285","2020-08-03","True"
"286","2020-08-04","True"
"287","2020-08-05","True"
"288","2020-08-06","True"
"289","2020-08-07","True"
"290","2020-08-08","True"
"291","2020-08-09","True"
"292","2020-08-10","True"
"293","2020-08-11","True"
"294","2020-08-12","False"
"295","2020-08-13","False"
"296","2020-08-14","False"
"297","2020-08-15","False"
"298","2020-08-16","False"
"299","2020-08-17","False"
"300","2020-08-18","False"
"301","2020-08-19","False"
"302","2020-08-20","False"
"303","2020-08-21","False"
"304","2020-08-22","False"
"305","2020-08-23","False"
"306","2020-08-24","False"
"307","2020-08-25","False"
"308","2020-08-26","False"
"309","2020-08-27","False"
"310","2020-08-28","False"
"311","2020-08-29","False"
"312","2020-08-30","False"
"313","2020-08-31","False"
"314","2020-09-01","False"
"315","2020-09-02","False"
"316","2020-09-03","False"
"317","2020-09-04","False"
"318","2020-09-05","False"
"319","2020-09-06","False"
"320","2020-09-07","False"
"321","2020-09-08","False"
"322","2020-09-09","False"
"323","2020-09-10","False"
"324","2020-09-11","False"
"325","2020-09-12","False"
"326","2020-09-13","False"
"327","2020-09-14","False"
"328","2020-09-15","False"
"329","2020-09-16","False"
"330","2020-09-17","False"
"331","2020-09-18","False"
"332","2020-09-19","False"
"333","2020-09-20","False"
"334","2020-09-21","False"
"335","2020-09-22","False"
"336","2020-09-23","False"
"337","2020-09-24","False"
"338","2020-09-25","False"
"339","2020-09-26","False"
"340","2020-09-27","False"
"341","2020-09-28","False"
"342","2020-09-29","False"
"343","2020-09-30","False"
"344","2020-10-01","False"
"345","2020-10-02","False"
"346","2020-10-03","False"
"347","2020-10-04","False"
"348","2020-10-05","False"
"349","2020-10-06","False"
"350","2020-10-07","False"
"351","2020-10-08","False"
"352","2020-10-09","False"
"353","2020-10-10","False"
"354","2020-10-11","False"
"355","2020-10-12","True"
"356","2020-10-13","True"
"357","2020-10-14","True"
"358","2020-10-15","True"
"359","2020-10-16","True"
"360","2020-10-17","True"
"361","2020-10-18","True"
"362","2020-10-19","True"
"363","2020-10-20","True"
"364","2020-10-21","True"
"365","2020-10-22","True"
"366","2020-10-23","True"
"367","2020-10-24","True"
"368","2020-10-25","False"
"369","2020-10-26","False"
"370","2020-10-27","False"
"371","2020-10-28","False"
"372","2020-10-29","False"
"373","2020-10-30","False"
"374","2020-10-31","False"
"375","2020-11-01","False"
"376","2020-11-02","False"
"377","2020-11-03","False"
"378","2020-11-04","False"
"379","2020-11-05","False"
"380","2020-11-06","False"
"381","2020-11-07","False"
"382","2020-11-08","False"
"383","2020-11-09","False"
"384","2020-11-10","False"
"385","2020-11-11","False"
"386","2020-11-12","False"
"387","2020-11-13","False"
"388","2020-11-14","False"
"389","2020-11-15","False"
"390","2020-11-16","False"
"391","2020-11-17","False"
"392","2020-11-18","False"
"393","2020-11-19","False"
"394","2020-11-20","False"
"395","2020-11-21","False"
"396","2020-11-22","False"
"397","2020-11-23","False"
"398","2020-11-24","False"
"399","2020-11-25","False"
"400","2020-11-26","False"
"401","2020-11-27","False"
"402","2020-11-28","False"
"403","2020-11-29","False"
"404","2020-11-30","False"
"405","2020-12-01","False"
"406","2020-12-02","False"
"407","2020-12-03","False"
"408","2020-12-04","False"
"409","2020-12-05","False"
"410","2020-12-06","False"
"411","2020-12-07","False"
"412","2020-12-08","False"
"413","2020-12-09","False"
"414","2020-12-10","False"
"415","2020-12-11","False"
"416","2020-12-12","False"
"417","2020-12-13","False"
"418","2020-12-14","False"
"419","2020-12-15","False"
"420","2020-12-16","False"
"421","2020-12-17","False"
"422","2020-12-18","False"
"423","2020-12-19","False"
"424","2020-12-20","False"
"425","2020-12-21","False"
"426","2020-12-22","False"
"427","2020-12-23","True"
"428","2020-12-24","True"
"429","2020-12-25","True"
"430","2020-12-26","True"
"431","2020-12-27","True"
"432","2020-12-28","True"
"433","2020-12-29","True"
"434","2020-12-30","True"
"435","2020-12-31","True"
"436","2021-01-01","True"
"437","2021-01-02","True"
"438","2021-01-03","True"
"439","2021-01-04","True"
"440","2021-01-05","True"
"441","2021-01-06","True"
"442","2021-01-07","False"
"443","2021-01-08","False"
"444","2021-01-09","False"
"445","2021-01-10","False"
"446","2021-01-11","False"
"447","2021-01-12","False"
"448","2021-01-13","False"
"449","2021-01-14","False"
"450","2021-01-15","False"
"451","2021-01-16","False"
"452","2021-01-17","False"
"453","2021-01-18","False"
"454","2021-01-19","False"
"455","2021-01-20","False"
"456","2021-01-21","False"
"457","2021-01-22","False"
"458","2021-01-23","False"
"459","2021-01-24","False"
"460","2021-01-25","False"
"461","2021-01-26","False"
"462","2021-01-27","False"
"463","2021-01-28","False"
"464","2021-01-29","False"
"465","2021-01-30","False"
"466","2021-01-31","False"
"467","2021-02-01","False"
"468","2021-02-02","False"
"469","2021-02-03","False"
"470","2021-02-04","False"
"471","2021-02-05","False"
"472","2021-02-06","False"
"473","2021-02-07","False"
"474","2021-02-08","False"
"475","2021-02-09","False"
"476","2021-02-10","False"
"477","2021-02-11","False"
"478","2021-02-12","False"
"479","2021-02-13","False"
"480","2021-02-14","False"
"481","2021-02-15","False"
"482","2021-02-16","False"
"483","2021-02-17","False"
